subject,group,baseline_07_val_acc,baseline_07_test_acc,baseline_07_val_test_gap,selected_model,selected_source_val_acc,selected_source_val_nll,selected_test_acc,selected_val_test_gap,delta_test_acc_vs_07,risk_note
0,weak,0.8872858431018936,0.7575757575757576,0.12971008552613605,00_seed_paperfix,0.8890892696122633,0.3060939610004425,0.8396464646464646,0.04944280496579867,0.08207070707070707,weak_gain_supports_reliability_selection
1,middle,0.8742110009017132,0.7727272727272727,0.10148372817444051,07_seed_sdrmpg_rsc,0.8742110009017132,0.348829060792923,0.7727272727272727,0.10148372817444051,0.0,stable_or_small_delta
2,middle,0.8609107303877367,0.7986111111111112,0.06229961927662553,00_seed_paperfix,0.8911181244364292,0.28896263241767883,0.8080808080808081,0.08303731635562117,0.009469696969696906,stable_or_small_delta
3,weak,0.8848061316501352,0.7171717171717171,0.1676344144784181,00_seed_paperfix,0.8981064021641119,0.2773537337779999,0.7569444444444444,0.14116195771966744,0.03977272727272729,weak_gain_supports_reliability_selection
4,middle,0.8881875563570785,0.7771464646464646,0.11104109171061383,01_seed_sdrmpg,0.8854824165915239,0.3371475040912628,0.735479797979798,0.15000261861172592,-0.04166666666666663,selector_guardrail_needed
5,middle,0.8751127141568981,0.8188131313131313,0.05629958284376679,01_seed_sdrmpg,0.8751127141568981,0.34556061029434204,0.8112373737373737,0.06387534041952436,-0.007575757575757569,stable_or_small_delta
6,middle,0.8985572587917042,0.8402777777777778,0.05827948101392644,07_seed_sdrmpg_rsc,0.8985572587917042,0.29090312123298645,0.8402777777777778,0.05827948101392644,0.0,stable_or_small_delta
7,weak,0.89404869251578,0.7285353535353535,0.16551333898042653,01_seed_sdrmpg,0.8963029756537421,0.30107352137565613,0.735479797979798,0.16082317767394405,0.006944444444444531,stable_or_small_delta
8,middle,0.8963029756537421,0.8106060606060606,0.08569691504768151,07_seed_sdrmpg_rsc,0.8963029756537421,0.30855411291122437,0.8106060606060606,0.08569691504768151,0.0,stable_or_small_delta
9,weak,0.8773669972948602,0.6799242424242424,0.1974427548706178,07_seed_sdrmpg_rsc,0.8773669972948602,0.3448167145252228,0.6799242424242424,0.1974427548706178,0.0,stable_or_small_delta
10,strong,0.8884129846708747,0.898989898989899,-0.0105769143190243,01_seed_sdrmpg,0.8884129846708747,0.28415653109550476,0.884469696969697,0.003943287701177689,-0.014520202020201989,stable_or_small_delta
11,middle,0.8949504057709649,0.7714646464646465,0.12348575930631833,01_seed_sdrmpg,0.8944995491433724,0.2831950783729553,0.7582070707070707,0.13629247843630166,-0.013257575757575801,stable_or_small_delta
12,strong,0.8363390441839496,0.8787878787878788,-0.04244883460392923,07_seed_sdrmpg_rsc,0.8363390441839496,0.3838565945625305,0.8787878787878788,-0.04244883460392923,0.0,stable_or_small_delta
13,weak,0.8573038773669973,0.7304292929292929,0.12687458443770439,01_seed_sdrmpg,0.8575293056807936,0.3979695737361908,0.7986111111111112,0.05891819456968239,0.06818181818181823,weak_gain_supports_reliability_selection
14,strong,0.7912533814247069,0.9633838383838383,-0.17213045695913143,07_seed_sdrmpg_rsc,0.7912533814247069,0.5745801329612732,0.9633838383838383,-0.17213045695913143,0.0,stable_or_small_delta
