subject,group,selected_27,selected_69,test_acc_07,test_acc_27,test_acc_69,delta_69_vs_27,delta_69_vs_07,selection_reason_69
0,weak,00_seed_paperfix,00_seed_paperfix,0.7575757575757576,0.8396464646464646,0.8396464646464646,0.0,0.08207070707070707,paperfix_guarded_by_val_nll_val_acc_and_nll_cap
1,middle,07_seed_sdrmpg_rsc,07_seed_sdrmpg_rsc,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.0,0.0,sdrmpg_rsc_anchor_fallback
2,middle,00_seed_paperfix,00_seed_paperfix,0.7986111111111112,0.8080808080808081,0.8080808080808081,0.0,0.009469696969696906,paperfix_guarded_by_val_nll_val_acc_and_nll_cap
3,weak,00_seed_paperfix,00_seed_paperfix,0.7171717171717171,0.7569444444444444,0.7569444444444444,0.0,0.03977272727272729,paperfix_guarded_by_val_nll_val_acc_and_nll_cap
4,middle,01_seed_sdrmpg,07_seed_sdrmpg_rsc,0.7771464646464646,0.735479797979798,0.7771464646464646,0.04166666666666663,0.0,sdrmpg_rsc_anchor_fallback
5,middle,01_seed_sdrmpg,07_seed_sdrmpg_rsc,0.8188131313131313,0.8112373737373737,0.8188131313131313,0.007575757575757569,0.0,sdrmpg_rsc_anchor_fallback
6,middle,07_seed_sdrmpg_rsc,07_seed_sdrmpg_rsc,0.8402777777777778,0.8402777777777778,0.8402777777777778,0.0,0.0,sdrmpg_rsc_anchor_fallback
7,weak,01_seed_sdrmpg,07_seed_sdrmpg_rsc,0.7285353535353535,0.735479797979798,0.7285353535353535,-0.006944444444444531,0.0,sdrmpg_rsc_anchor_fallback
8,middle,07_seed_sdrmpg_rsc,01_seed_sdrmpg,0.8106060606060606,0.8106060606060606,0.8244949494949495,0.01388888888888895,0.01388888888888895,sdrmpg_allowed_by_val_acc_margin_and_nll_guard
9,weak,07_seed_sdrmpg_rsc,07_seed_sdrmpg_rsc,0.6799242424242424,0.6799242424242424,0.6799242424242424,0.0,0.0,sdrmpg_rsc_anchor_fallback
10,strong,01_seed_sdrmpg,07_seed_sdrmpg_rsc,0.898989898989899,0.884469696969697,0.898989898989899,0.014520202020201989,0.0,sdrmpg_rsc_anchor_fallback
11,middle,01_seed_sdrmpg,07_seed_sdrmpg_rsc,0.7714646464646465,0.7582070707070707,0.7714646464646465,0.013257575757575801,0.0,sdrmpg_rsc_anchor_fallback
12,strong,07_seed_sdrmpg_rsc,07_seed_sdrmpg_rsc,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,0.0,sdrmpg_rsc_anchor_fallback
13,weak,01_seed_sdrmpg,01_seed_sdrmpg,0.7304292929292929,0.7986111111111112,0.7986111111111112,0.0,0.06818181818181823,sdrmpg_allowed_on_hard_source_val_fold
14,strong,07_seed_sdrmpg_rsc,07_seed_sdrmpg_rsc,0.9633838383838383,0.9633838383838383,0.9633838383838383,0.0,0.0,sdrmpg_rsc_anchor_fallback
